region,state,population,income,unemployment,bachelor,jobs
Fairfield,NSW,209066.0,45164.0,8.7,10.7,128596.0
Federation,NSW,12822.0,44673.0,3.3,7.2,10565.0
Forbes,NSW,9385.0,47508.0,3.8,9.3,7660.0
Georges River,NSW,152800.0,50446.0,5.2,22.9,131500.0
Gilgandra,NSW,4318.0,41813.0,4.8,8.9,3408.0
Glen Innes Severn,NSW,8925.0,36386.0,6.4,8.2,6352.0
Goulburn Mulwaree,NSW,32150.0,51989.0,4.3,9.5,25124.0
Greater Hume Shire,NSW,11109.0,47826.0,2.9,10.0,9312.0
Griffith,NSW,27195.0,51476.0,3.0,10.2,27526.0
Gunnedah,NSW,13088.0,52036.0,4.2,9.0,10650.0
Gwydir,NSW,4912.0,35887.0,4.2,8.4,3639.0
Hawkesbury,NSW,67605.0,56090.0,3.2,10.6,55227.0
Hay,NSW,2885.0,46026.0,4.0,6.1,2769.0
Hilltops,NSW,19223.0,45429.0,4.4,8.8,15768.0
Hornsby,NSW,152263.0,59372.0,4.1,27.4,122539.0
Hunters Hill,NSW,13596.0,74611.0,3.4,28.6,10341.0
Inner West,NSW,183839.0,69618.0,4.3,30.5,174488.0
Inverell,NSW,17920.0,44242.0,6.2,7.8,12729.0
Junee,NSW,6454.0,51363.0,4.3,7.2,4616.0
Kempsey,NSW,30828.0,39233.0,7.2,7.6,19382.0
Kiama,NSW,22970.0,50688.0,3.4,19.7,17111.0
Ku-ring-gai,NSW,124703.0,63108.0,4.2,32.6,95952.0
Kyogle,NSW,9346.0,35041.0,5.9,9.8,6478.0
Lachlan,NSW,6153.0,43297.0,5.4,7.5,5306.0
Lake Macquarie,NSW,214054.0,53323.0,4.6,13.3,160064.0
Lane Cove,NSW,39608.0,77072.0,3.6,35.2,34803.0
Leeton,NSW,11480.0,48643.0,3.8,8.2,9603.0
Lismore,NSW,44361.0,45194.0,5.1,14.3,35214.0
Lithgow,NSW,20855.0,48800.0,5.5,8.0,14085.0
Liverpool,NSW,234505.0,53205.0,6.6,14.4,164548.0
Liverpool Plains,NSW,7608.0,44233.0,5.8,7.2,5995.0
Lockhart,NSW,3328.0,48466.0,3.0,8.3,2818.0
Maitland,NSW,90612.0,55712.0,4.7,11.0,71758.0
Mid-Coast,NSW,96475.0,39384.0,6.2,8.7,60093.0
Mid-Western Regional,NSW,25714.0,48239.0,4.0,9.8,21223.0
Moree Plains,NSW,12964.0,51161.0,3.9,9.0,10344.0
Mosman,NSW,28466.0,76612.0,3.6,34.9,23823.0
Murray River,NSW,12785.0,43832.0,3.1,9.3,9528.0
Murrumbidgee,NSW,3564.0,45221.0,2.9,8.1,3377.0
