Location,metric,raw_value,metric_id,normalised_value,city_order
MelbourneAirport,Min temp,10.024170172978028,avg_MinTemp,0.32510490572425793,39
MelbourneAirport,Rainfall,1.4557269752220665,avg_Rainfall,0.18014575751227996,39
MelbourneAirport,Humidity 3pm,50.97470725995316,avg_Humidity3pm,0.5884590165390267,39
MelbourneAirport,Wind gust,46.94692343823392,avg_WindGustSpeed,0.9538004390800098,39
MelbourneAirport,Sunshine,6.376145930776427,avg_Sunshine,0.0,39
MelbourneAirport,Rain tomorrow rate,0.2187938288920056,rain_probability,0.49884869649915503,39
Mildura,Max temp,24.783521657250468,avg_MaxTemp,0.5608360071757392,14
Mildura,Min temp,10.724293785310735,avg_MinTemp,0.36105160923742713,14
Mildura,Rainfall,0.9634778510838832,avg_Rainfall,0.08417770978028861,14
Mildura,Humidity 3pm,35.28099952852428,avg_Humidity3pm,0.24341615771002031,14
Mildura,Wind gust,37.36192271442036,avg_WindGustSpeed,0.46537075016579776,14
Mildura,Sunshine,8.449558390578998,avg_Sunshine,0.6541634176477384,14
Mildura,Rain tomorrow rate,0.10969868173258004,rain_probability,0.1374832774169367,14
Moree,Max temp,26.91683168316832,avg_MaxTemp,0.6532124169418738,6
Moree,Min temp,12.85121347201585,avg_MinTemp,0.47025482710858635,6
Moree,Rainfall,1.7229949238578681,avg_Rainfall,0.23225185987826777,6
Moree,Humidity 3pm,35.897766749379656,avg_Humidity3pm,0.2569764411534143,6
Moree,Wind gust,39.83002544529262,avg_WindGustSpeed,0.5911396138084735,6
Moree,Sunshine,8.887308228730824,avg_Sunshine,0.7922738687768927,6
Moree,Rain tomorrow rate,0.14603960396039603,rain_probability,0.25785849971255487,6
MountGambier,Max temp,19.741000467508183,avg_MaxTemp,0.34248518239224984,42
MountGambier,Min temp,8.906030855539973,avg_MinTemp,0.26769586848804083,42
MountGambier,Rainfall,2.169821930646673,avg_Rainfall,0.3193644892618669,42
MountGambier,Humidity 3pm,57.409559512652294,avg_Humidity3pm,0.7299360884592022,42
MountGambier,Wind gust,42.86350710900474,avg_WindGustSpeed,0.745718893250028,42
MountGambier,Sunshine,6.434405670665212,avg_Sunshine,0.018380998135096124,42
MountGambier,Rain tomorrow rate,0.30327102803738315,rain_probability,0.7786699283954805,42
MountGinini,Max temp,11.831761786600495,avg_MaxTemp,0.0,48
MountGinini,Min temp,3.692195367573011,avg_MinTemp,0.0,48
MountGinini,Rainfall,3.2253822629969418,avg_Rainfall,0.5251547271548052,48
MountGinini,Humidity 3pm,69.69297297297297,avg_Humidity3pm,1.0,48
