state,bachelor,income_trend
NT,35.0,110218.76
NT,36.0,112712.5
NT,37.0,115206.24
NT,38.0,117699.97
NT,39.0,120000.0
NT,40.0,120000.0
NT,41.0,120000.0
NT,42.0,120000.0
NT,43.0,120000.0
NT,44.0,120000.0
NT,45.0,120000.0
NT,46.0,120000.0
NT,47.0,120000.0
NT,48.0,120000.0
NT,49.0,120000.0
NT,50.0,120000.0
NT,51.0,120000.0
NT,52.0,120000.0
NT,53.0,120000.0
NT,54.0,120000.0
NT,55.0,120000.0
NT,56.0,120000.0
NT,57.0,120000.0
NT,58.0,120000.0
NT,59.0,120000.0
NT,60.0,120000.0
NT,61.0,120000.0
NT,62.0,120000.0
NT,63.0,120000.0
NT,64.0,120000.0
NT,65.0,120000.0
ACT,0.0,69743.0
ACT,1.0,69743.0
ACT,2.0,69743.0
ACT,3.0,69743.0
ACT,4.0,69743.0
ACT,5.0,69743.0
ACT,6.0,69743.0
ACT,7.0,69743.0
ACT,8.0,69743.0
ACT,9.0,69743.0
ACT,10.0,69743.0
ACT,11.0,69743.0
ACT,12.0,69743.0
ACT,13.0,69743.0
ACT,14.0,69743.0
ACT,15.0,69743.0
ACT,16.0,69743.0
ACT,17.0,69743.0
ACT,18.0,69743.0
ACT,19.0,69743.0
ACT,20.0,69743.0
ACT,21.0,69743.0
ACT,22.0,69743.0
ACT,23.0,69743.0
ACT,24.0,69743.0
ACT,25.0,69743.0
ACT,26.0,69743.0
ACT,27.0,69743.0
ACT,28.0,69743.0
ACT,29.0,69743.0
ACT,30.0,69743.0
ACT,31.0,69743.0
ACT,32.0,69743.0
ACT,33.0,69743.0
ACT,34.0,69743.0
ACT,35.0,69743.0
ACT,36.0,69743.0
ACT,37.0,69743.0
ACT,38.0,69743.0
ACT,39.0,69743.0
ACT,40.0,69743.0
ACT,41.0,69743.0
ACT,42.0,69743.0
ACT,43.0,69743.0
ACT,44.0,69743.0
ACT,45.0,69743.0
ACT,46.0,69743.0
ACT,47.0,69743.0
ACT,48.0,69743.0
ACT,49.0,69743.0
ACT,50.0,69743.0
ACT,51.0,69743.0
ACT,52.0,69743.0
ACT,53.0,69743.0
ACT,54.0,69743.0
ACT,55.0,69743.0
ACT,56.0,69743.0
ACT,57.0,69743.0
ACT,58.0,69743.0
ACT,59.0,69743.0
ACT,60.0,69743.0
ACT,61.0,69743.0
ACT,62.0,69743.0
ACT,63.0,69743.0
ACT,64.0,69743.0
ACT,65.0,69743.0
