Location,direction,count,direction_order
Nuriootpa,WSW,264,11
PearceRAAF,WSW,261,11
Penrith,WSW,94,11
Perth,WSW,194,11
PerthAirport,WSW,244,11
Portland,WSW,211,11
Richmond,WSW,93,11
Sale,WSW,204,11
SalmonGums,WSW,69,11
Sydney,WSW,90,11
SydneyAirport,WSW,126,11
Townsville,WSW,7,11
Tuggeranong,WSW,66,11
Uluru,WSW,27,11
WaggaWagga,WSW,280,11
Walpole,WSW,151,11
Watsonia,WSW,190,11
Williamtown,WSW,32,11
Witchcliffe,WSW,144,11
Wollongong,WSW,116,11
Woomera,WSW,137,11
Adelaide,W,232,12
Albany,W,0,12
Albury,W,361,12
AliceSprings,W,44,12
BadgerysCreek,W,122,12
Ballarat,W,176,12
Bendigo,W,154,12
Brisbane,W,250,12
Cairns,W,12,12
Canberra,W,110,12
Cobar,W,107,12
CoffsHarbour,W,18,12
Dartmoor,W,107,12
Darwin,W,71,12
GoldCoast,W,66,12
Hobart,W,86,12
Katherine,W,28,12
Launceston,W,47,12
Melbourne,W,82,12
MelbourneAirport,W,103,12
Mildura,W,178,12
Moree,W,78,12
MountGambier,W,232,12
MountGinini,W,440,12
Newcastle,W,0,12
Nhil,W,152,12
NorahHead,W,99,12
NorfolkIsland,W,117,12
Nuriootpa,W,284,12
PearceRAAF,W,117,12
Penrith,W,99,12
Perth,W,91,12
PerthAirport,W,157,12
Portland,W,378,12
Richmond,W,169,12
Sale,W,536,12
SalmonGums,W,100,12
Sydney,W,1042,12
SydneyAirport,W,147,12
Townsville,W,7,12
Tuggeranong,W,188,12
Uluru,W,38,12
WaggaWagga,W,287,12
Walpole,W,113,12
Watsonia,W,172,12
Williamtown,W,70,12
Witchcliffe,W,141,12
Wollongong,W,134,12
Woomera,W,104,12
Adelaide,WNW,136,13
Albany,WNW,0,13
Albury,WNW,282,13
AliceSprings,WNW,36,13
BadgerysCreek,WNW,105,13
Ballarat,WNW,109,13
Bendigo,WNW,147,13
Brisbane,WNW,88,13
Cairns,WNW,13,13
Canberra,WNW,252,13
Cobar,WNW,90,13
CoffsHarbour,WNW,29,13
Dartmoor,WNW,130,13
Darwin,WNW,266,13
GoldCoast,WNW,79,13
Hobart,WNW,134,13
Katherine,WNW,42,13
Launceston,WNW,104,13
Melbourne,WNW,35,13
MelbourneAirport,WNW,58,13
Mildura,WNW,140,13
Moree,WNW,52,13
MountGambier,WNW,132,13
MountGinini,WNW,172,13
Newcastle,WNW,0,13
Nhil,WNW,83,13
NorahHead,WNW,95,13
NorfolkIsland,WNW,93,13
Nuriootpa,WNW,228,13
PearceRAAF,WNW,63,13
Penrith,WNW,132,13
Perth,WNW,103,13
PerthAirport,WNW,85,13
Portland,WNW,184,13
Richmond,WNW,110,13
Sale,WNW,207,13
SalmonGums,WNW,124,13
Sydney,WNW,57,13
SydneyAirport,WNW,132,13
Townsville,WNW,6,13
Tuggeranong,WNW,287,13
Uluru,WNW,27,13
WaggaWagga,WNW,175,13
Walpole,WNW,155,13
Watsonia,WNW,36,13
Williamtown,WNW,427,13
Witchcliffe,WNW,137,13
Wollongong,WNW,134,13
Woomera,WNW,41,13
Adelaide,NW,111,14
Albany,NW,0,14
Albury,NW,123,14
AliceSprings,NW,61,14
BadgerysCreek,NW,64,14
Ballarat,NW,70,14
Bendigo,NW,128,14
Brisbane,NW,13,14
Cairns,NW,5,14
Canberra,NW,662,14
Cobar,NW,79,14
CoffsHarbour,NW,57,14
